ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,relate,spec,senti,commit,metrics,strategy,governance,risk,all_total_emissions
AAPL,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,355,281,255,891,16-04-2022,BB,Medium,320193,0.9569583931133429,0.740072202166065,0.25,0.83,0.2752941176470588,0.6658823529411765,0.0141176470588235,0.0447058823529411,15600000.0
AEP,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,20-04-2022,BBB,High,4904,0.7274401473296501,0.2633928571428571,0.41,0.51,0.1584905660377358,0.7056603773584905,0.0981132075471698,0.0377358490566037,48124049.1
AMZN,Amazon.com Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/967bf7b0-80df-11ea-abb4-00000000092a.png,https://www.amazon.com/,AA,Excellent,BB,Medium,BBB,High,668,305,460,1433,16-04-2022,A,High,1018724,0.717948717948718,0.7714285714285715,0.13,0.9,0.2415094339622641,0.7245283018867924,0.030188679245283,0.0037735849056603,68250000.0
COST,Costco Wholesale Corp,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COST_4295912987.png,https://www.costco.com/,A,High,BB,Medium,B,Medium,537,306,225,1068,16-04-2022,BBB,High,909832,0.0574948665297741,0.0526315789473684,0.93,0.07,0.0,0.96,0.04,0.0,4700000.0
CSCO,Cisco Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/ca223cac-80df-11ea-a99c-00000000092a.png,https://www.cisco.com/,B,Medium,B,Medium,B,Medium,280,234,220,734,11-06-2022,B,Medium,858877,0.4028776978417266,0.7272727272727273,0.21,0.82,0.3414634146341463,0.6585365853658537,0.0,0.0,17092306.0
LNT,Alliant Energy Corp,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/1981fcae-80ec-11ea-a4b8-00000000092a.png,https://www.alliantenergy.com/,A,High,BB,Medium,BB,Medium,519,307,300,1126,16-04-2022,BBB,High,352541,0.7390029325513197,0.6065573770491803,0.43,0.52,0.3493975903614458,0.6144578313253012,0.0180722891566265,0.0180722891566265,15563848.5
GOOGL,Alphabet Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOGL.png,https://abc.xyz/,B,Medium,BB,Medium,BB,Medium,295,362,355,1012,30-04-2022,BBB,High,1652044,0.99568345323741,0.6707818930041153,0.24,0.69,0.3974082073434125,0.550755939524838,0.019438444924406,0.0323974082073434,56418.04
META,Meta Platforms Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,https://www.facebook.com,B,Medium,B,Medium,B,Medium,205,232,215,652,22-04-2022,B,Medium,1326801,0.8938775510204081,0.4380952380952381,0.36,0.68,0.3625,0.60625,0.0125,0.01875,7500000.0
MSFT,Microsoft Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/25e313016e9fac0f4b78bbd7e3afded45a8136b17f450c262aea14beed438191.png,https://www.microsoft.com/en-us,AA,Excellent,BBB,High,BB,Medium,715,443,375,1533,27-04-2022,A,High,789019,0.9882352941176472,0.5048076923076923,0.11,0.86,0.1521739130434782,0.8016304347826086,0.0081521739130434,0.0380434782608695,17162000.0
NVDA,NVIDIA Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,https://www.nvidia.com/,BB,Medium,BB,Medium,B,Medium,323,301,275,899,18-04-2022,BB,Medium,1045810,0.5714285714285714,0.1914893617021276,0.36,0.5,0.2456140350877192,0.5614035087719298,0.1228070175438596,0.0701754385964912,3692423.0
XEL,Xcel Energy Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/ad4fb250-80ec-11ea-950a-00000000092a.png,https://www.xcelenergy.com/,B,Medium,B,Medium,B,Medium,223,201,205,629,20-04-2022,B,Medium,72903,0.8580508474576272,0.6521739130434783,0.28,0.78,0.2392156862745098,0.6274509803921569,0.1176470588235294,0.0156862745098039,29597308.07
AES,AES Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/dd2e38bf724fd9d5860157f55d57588ba0ea09e12d3ac1b9361148d013d566d4.png,https://www.aes.com/,A,High,BB,Medium,BB,Medium,525,326,370,1221,16-04-2022,A,High,874761,0.6494845360824743,0.4358974358974359,0.28,0.59,0.160377358490566,0.6886792452830188,0.1037735849056603,0.0471698113207547,15677526.8
BAC,Bank of America Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAC.png,https://www.bankofamerica.com,B,Medium,BB,Medium,B,Medium,220,394,265,879,16-04-2022,BB,Medium,70858,0.8863920099875156,0.2574031890660592,0.43,0.45,0.309623430962343,0.401673640167364,0.1589958158995816,0.1297071129707113,68821.0
DUK,Duke Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/c6386312-80eb-11ea-a9c6-00000000092a.png,https://www.duke-energy.com/,AA,Excellent,BB,Medium,BB,Medium,604,362,328,1294,17-04-2022,A,High,1326160,0.8123076923076923,0.4482758620689655,0.27,0.65,0.1038251366120218,0.825136612021858,0.0546448087431694,0.0163934426229508,65077745.6
CF,CF Industries Holdings Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,https://static.finnhub.io/logo/9b57a636-80eb-11ea-8738-00000000092a.png,https://www.cfindustries.com/,A,High,BB,Medium,BB,Medium,525,307,310,1142,16-04-2022,BBB,High,1324404,0.875,0.6,0.15,0.73,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.0,20579424.2
DTE,DTE Energy Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/c4c6a66c-80eb-11ea-a459-00000000092a.png,https://www.newlook.dteenergy.com/,A,High,BB,Medium,B,Medium,592,313,210,1115,17-04-2022,BBB,High,936340,0.8669623059866962,0.553763440860215,0.43,0.47,0.4504132231404958,0.3925619834710744,0.1446280991735537,0.012396694214876,23317452.07
JNJ,Johnson & Johnson,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,https://static.finnhub.io/logo/0a900736-80ec-11ea-8224-00000000092a.png,https://www.jnj.com/,A,High,BB,Medium,BB,Medium,565,308,300,1173,18-04-2022,BBB,High,200406,0.4010695187165775,0.4909090909090909,0.36,0.58,0.3663366336633663,0.5247524752475248,0.0792079207920792,0.0297029702970297,7372687.0
JPM,JPMorgan Chase & Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,https://static.finnhub.io/logo/0bf9570a-80ec-11ea-9e21-00000000092a.png,https://www.jpmorganchase.com/,A,High,BB,Medium,BB,Medium,505,319,338,1162,18-04-2022,BBB,High,19617,0.6496062992125984,0.199074074074074,0.5,0.4,0.2583732057416268,0.5215311004784688,0.1004784688995215,0.1196172248803827,873876.0
LIN,Linde PLC,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,https://static.finnhub.io/logo/b8fe2cdc-81d4-11ea-bd4e-00000000092a.png,https://www.linde.com/,B,Medium,B,Medium,B,Medium,210,240,275,725,20-04-2022,B,Medium,1707925,0.6478076379066479,0.4801980198019802,0.4,0.46,0.4275618374558304,0.3992932862190813,0.1307420494699646,0.0424028268551236,8787322.32
NEE,Nextera Energy Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/e1c67092-80eb-11ea-b610-00000000092a.png,https://www.nexteraenergy.com/,AA,Excellent,BB,Medium,BB,Medium,668,306,313,1287,18-04-2022,A,High,753308,0.8549618320610687,0.4296296296296296,0.4,0.59,0.2586206896551724,0.603448275862069,0.1163793103448275,0.021551724137931,40964268.73
NI,NiSource Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/3b042364-80ec-11ea-a3c4-00000000092a.png,https://www.nisource.com/,BB,Medium,BB,Medium,B,Medium,361,322,223,906,18-04-2022,BBB,High,1111711,0.7353760445682451,0.4181818181818181,0.36,0.54,0.1648936170212765,0.6914893617021277,0.0478723404255319,0.0957446808510638,5027591.002
NUE,Nucor Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Metals and Mining,https://static.finnhub.io/logo/61f6fa71dcc06483a3992eb1285beddd4a1d668f622c8a324412e5fc6828d664.png,https://nucor.com/,BB,Medium,BB,Medium,B,Medium,374,340,225,939,18-04-2022,BBB,High,73309,0.6831275720164609,0.3934426229508196,0.35,0.67,0.1388888888888889,0.7870370370370371,0.0648148148148148,0.0092592592592592,5386353.79
PNW,Pinnacle West Capital Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/58db7dc2-80ec-11ea-a1d4-00000000092a.png,https://www.pinnaclewest.com/,AA,Excellent,BBB,High,BB,Medium,629,479,300,1408,18-04-2022,A,High,764622,0.4370257966616085,0.7653846153846153,0.59,0.47,0.2022792022792023,0.7777777777777778,0.0056980056980056,0.0142450142450142,5905134.814
PPL,PPL Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/5ad1b27e-80ec-11ea-91fc-00000000092a.png,https://www.pplweb.com/,A,High,BB,Medium,BB,Medium,525,306,300,1131,18-04-2022,BBB,High,922224,0.75,0.4429530201342282,0.37,0.49,0.2555066079295154,0.6431718061674009,0.0881057268722467,0.013215859030837,26919146.4
VLO,Valero Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,https://static.finnhub.io/logo/9895287e-80ec-11ea-9005-00000000092a.png,https://www.valero.com/,AA,Excellent,BB,Medium,BB,Medium,608,307,330,1245,19-04-2022,A,High,1035002,0.6387755102040816,0.5255474452554745,0.37,0.47,0.2934782608695652,0.5380434782608695,0.1141304347826086,0.0543478260869565,23535216.6
V,Visa Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,https://static.finnhub.io/logo/96a1dba6-80ec-11ea-8ab6-00000000092a.png,https://usa.visa.com/,A,High,BB,Medium,BB,Medium,504,368,310,1182,19-04-2022,BBB,High,1403161,0.4294871794871794,0.5106382978723404,0.33,0.65,0.3412698412698413,0.5317460317460317,0.0714285714285714,0.0555555555555555,487000.0
WEC,WEC Energy Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/9ed91c64-80ec-11ea-a88a-00000000092a.png,https://www.wecenergygroup.com/,AA,Excellent,BBB,High,BB,Medium,635,438,300,1373,19-04-2022,A,High,783325,0.7221095334685599,0.4855491329479768,0.25,0.71,0.1214574898785425,0.7935222672064778,0.0769230769230769,0.0080971659919028,19196211.6
WM,Waste Management Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Commercial Services and Supplies,https://static.finnhub.io/logo/a3d670b8-80ec-11ea-bd29-00000000092a.png,https://www.wm.com/,AA,Excellent,BBB,High,B,Medium,613,408,285,1306,19-04-2022,A,High,823768,0.8562091503267973,0.7,0.15,0.85,0.3218390804597701,0.6666666666666666,0.0,0.0114942528735632,11650459.6
WMT,Walmart Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,https://static.finnhub.io/logo/52057505dd05a752d364065fcddf7772a700b31c47c39e9dcb41e393f6693d52.png,https://corporate.walmart.com,BB,Medium,B,Medium,B,Medium,310,281,220,811,19-04-2022,BB,Medium,104169,0.5600961538461539,0.3607843137254902,0.42,0.57,0.2574850299401197,0.6287425149700598,0.0748502994011976,0.0389221556886227,15060000.0
WRK,Westrock Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,https://static.finnhub.io/logo/3f3f2482-80d2-11ea-a5a1-00000000092a.png,https://www.westrock.com/,A,High,BB,Medium,BB,Medium,555,324,305,1184,20-04-2022,BBB,High,1732845,0.8387096774193549,0.4705882352941176,0.11,0.89,0.1,0.9,0.0,0.0,5779510.3
XOM,Exxon Mobil Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,https://static.finnhub.io/logo/ae11c718-80ec-11ea-906c-00000000092a.png,https://corporate.exxonmobil.com/,A,High,BB,Medium,BB,Medium,538,322,313,1173,17-04-2022,BBB,High,34088,0.7296037296037297,0.1146496815286624,0.42,0.54,0.0804020100502512,0.7487437185929648,0.0753768844221105,0.0954773869346733,36792767.3
CVX,Chevron Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,https://static.finnhub.io/logo/b5214c2e-80eb-11ea-b823-00000000092a.png,https://www.chevron.com/,B,Medium,B,Medium,B,Medium,210,217,210,637,22-04-2022,B,Medium,93410,0.8378378378378378,0.5098039215686274,0.49,0.22,0.620253164556962,0.3417721518987341,0.0379746835443038,0.0,19859598.27
COP,Conocophillips,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,https://static.finnhub.io/logo/aacfcb5e-80eb-11ea-8e60-00000000092a.png,http://www.conocophillips.com/,AA,Excellent,A,High,BB,Medium,687,544,305,1536,16-04-2022,A,High,1163165,0.8099352051835853,0.3435897435897436,0.55,0.42,0.3967611336032389,0.4251012145748988,0.1093117408906882,0.068825910931174,7979116.61
CMS,CMS Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/a772ceae-80eb-11ea-ae8d-00000000092a.png,https://www.cmsenergy.com/,BBB,High,AA,Excellent,C,Low,450,667,75,1192,16-04-2022,BBB,High,811156,0.776824034334764,0.6702127659574468,0.31,0.61,0.4661654135338345,0.4661654135338345,0.0526315789473684,0.0150375939849624,10419392.9
OXY,Occidental Petroleum Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,https://static.finnhub.io/logo/4bd186a6-80ec-11ea-a3b4-00000000092a.png,https://www.oxy.com/,A,High,BB,Medium,BB,Medium,505,302,300,1107,18-04-2022,BBB,High,797468,0.7565543071161048,0.3129770992366412,0.38,0.48,0.2191780821917808,0.6383561643835617,0.0904109589041095,0.0520547945205479,11123031.5
ORCL,Oracle Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,https://static.finnhub.io/logo/1f119542-80e1-11ea-8adf-00000000092a.png,https://www.oracle.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,17-09-2022,BBB,High,1341439,0.4571428571428571,0.3461538461538461,0.52,0.25,0.4666666666666667,0.3333333333333333,0.1,0.1,1164600.0
EMN,Eastman Chemical Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,https://static.finnhub.io/logo/cca36ffe-80eb-11ea-969e-00000000092a.png,https://www.eastman.com/,A,High,BB,Medium,BB,Medium,583,365,310,1258,17-04-2022,A,High,915389,0.7721021611001965,0.45,0.18,0.72,0.1304347826086956,0.7789855072463768,0.0579710144927536,0.0326086956521739,5899994.094
EOG,EOG Resources Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,https://static.finnhub.io/logo/ce6d8518-80eb-11ea-a7f0-00000000092a.png,https://www.eogresources.com/,A,High,B,Medium,B,Medium,550,252,240,1042,17-04-2022,BBB,High,821189,0.7913223140495868,0.125,0.51,0.31,0.3183673469387755,0.5061224489795918,0.1510204081632653,0.0244897959183673,5578196.99
ETR,Entergy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/d3a911b0-80eb-11ea-b66b-00000000092a.png,https://www.entergy.com/,AA,Excellent,BB,Medium,BB,Medium,653,380,310,1343,17-04-2022,A,High,65984,0.56,0.6419753086419753,0.28,0.7,0.2288135593220339,0.6864406779661016,0.0847457627118644,0.0,32446877.0
FE,FirstEnergy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/db937e3a-80eb-11ea-a947-00000000092a.png,https://www.firstenergycorp.com/,A,High,BB,Medium,BB,Medium,510,304,300,1114,17-04-2022,BBB,High,1031296,0.7173144876325088,0.3529411764705882,0.4,0.54,0.1550387596899224,0.6821705426356589,0.1240310077519379,0.0387596899224806,15338451.14
LLY,Eli Lilly and Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,https://static.finnhub.io/logo/184cd942-80ec-11ea-91ce-00000000092a.png,https://www.lilly.com/,A,High,BB,Medium,BB,Medium,510,360,310,1180,17-04-2022,BBB,High,59478,0.5045537340619308,0.2605633802816901,0.45,0.63,0.2032967032967033,0.6758241758241759,0.0989010989010989,0.0219780219780219,6701000.0
EVRG,Evergy Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,https://static.finnhub.io/logo/a5c31cb4-80ec-11ea-9d72-00000000092a.png,https://investors.evergy.com/,A,High,BB,Medium,BB,Medium,555,310,300,1165,10-06-2022,BBB,High,1711269,0.6551724137931034,0.5213675213675214,0.27,0.68,0.1283422459893048,0.7647058823529411,0.0641711229946524,0.0427807486631016,19050740.8
